centreline_id,segment_length,crash_count,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct,log_volume,crash_rate,exposure,log_exposure
30121660,222.55999511169884,0,1234.7,1234.7,,85.0,98.0,,,,,7.118583304573698,0.0,274794.8259644146,12.523780010784861
30121661,150.45620412098853,0,1252.3,1252.3,,92.0,106.0,,,,,7.132737139569986,0.0,188416.30442071392,12.146409178891119
911885,143.01118665197927,0,28227.3,28227.3,,2545.0,2486.0,,,,,10.248044873740408,0.0,4036819.6689814143,15.210967729276158
60032162,115.18814877689684,0,4694.0,4694.0,,277.0,475.0,,,,,8.454040376410969,0.0,540693.1703587538,13.200607244180196
8731008,116.49697639958622,0,13532.0,13532.0,,1354.0,1009.0,,,,,9.512812529900598,0.0,1576437.0846392007,14.270677848917932
60032177,157.57023212870595,166,15005.0,15005.0,,894.0,1586.0,,,,,9.616138757874468,1053.498479740821,2364341.333091233,14.676010035025644
9530241,119.81346042210808,2,15256.8,16170.8,12819.7,1503.0,1335.0,,,,,9.632780584290309,16.69261527839954,1827970.0029680184,14.418716621106677
1138210,140.3402376573086,0,714.0,714.0,,52.0,68.0,32.9,42.6,46.7,,6.570882962339584,0.0,100202.92968731833,11.514952705601859
445783,148.33999507950708,0,137.3,137.3,,8.0,13.0,27.4,34.3,39.4,,4.922168312773925,0.0,20367.081324416322,9.921675215911966
7979624,93.26349197086942,0,21746.7,21746.7,,1781.0,1567.0,,,,,9.987217300867627,0.0,2028173.1808429062,14.522646034940227
1137853,84.43225310303437,0,2713.0,2713.0,,325.0,290.0,,,,,7.905810312658931,0.0,229064.70266853223,12.341759787032295
20042723,51.16913749728824,0,11568.7,11568.7,,779.0,856.0,,,,,9.356058454324353,0.0,591960.4009648785,13.29119502136686
20364201,48.93867677207409,0,13463.3,13463.3,,867.0,910.0,,,,,9.507722744025923,0.0,658876.086985465,13.398290763915911
444400,334.694336169189,0,2130.7,2130.7,,280.0,204.0,38.1,44.9,49.8,,7.66420584321132,0.0,713133.222075691,13.477423529173647
20042625,49.08939301338318,0,1994.0,1994.0,,171.0,161.0,33.1,39.8,44.3,,7.597897950521784,0.0,97884.24966868605,11.491540933744128
30060762,187.16805789678045,0,1873.7,1873.7,,203.0,179.0,36.8,44.6,49.6,,7.535670364604467,0.0,350696.79008119757,12.767677283195585
60032460,391.5958309297888,0,6547.0,6547.0,,379.0,544.0,,,,,8.786762208441091,0.0,2563777.905097327,14.756992472794066
444480,241.3932683979774,0,854.0,854.0,,77.0,91.0,32.6,44.1,49.3,,6.74993119378857,0.0,206149.8512118727,12.236358616387866
9722599,84.37680213091362,0,14081.3,14081.3,,948.0,931.0,,,,,9.552602954995377,0.0,1188135.0638460338,13.987895462548586
